URL	Organisation	Organisation type	Portal	Region	Lat	Lon
https://data.qld.gov.au	Queensland Government	State Government	CKAN	Queensland	-22,486944	144,431667
https://researchdatafinder.qut.edu.au	Queensland University of Technology	Research	unknown	Queensland	-27,476803	153,027819
https://data.brisbane.qld.gov.au	Brisbane City Council	Local Government	CKAN	Queensland	-27,468927	153,023499
http://data.gov.au/organization/city-of-gold-coast	Gold Coast City Council	Local Government	CKAN	Queensland	-28,002076	153,416531
http://data.logancity.opendata.arcgis.com/	Logan City Council	Local Government	ArcGIS Open Data	Queensland	-27,642996	153,103997
http://data.gov.au/organization/logan-city-council	Logan City Council	Local Government	CKAN	Queensland	-27,642996	153,103997
http://data.moretonbay.qld.gov.au	Moreton Bay Regional Council	Local Government	ArcGIS Open Data	Queensland	-27,083513	152,951173
http://data.gov.au/organization/noosa-shire-council	Noosa Council	Local Government	CKAN	Queensland	-26,392297	153,040615
